TICKER,ebitda,de_ratio,debt_ebitda,npm,roa,roe,gsector,sic,description
AIR,215.6,0.644,1.741,0.032,0.112,0.062,20.0,5080,
AAL,6267.0,-13.54,6.082,0.03,0.106,,20.0,4512,"Air transportation, scheduled"
CECO,52.695,1.547,3.224,0.034,0.087,0.078,20.0,3564,Blowers and fans
PNW,1618.683,2.857,6.204,0.101,0.067,0.055,55.0,4911,Electric services
PRG,1849.328,1.545,0.307,0.064,1.265,0.221,40.0,6141,Personal credit institutions
ABT,10036.0,0.974,1.673,0.129,0.136,0.14,35.0,3845,Electromedical equipment
ACU,18.256,0.947,3.381,0.031,0.098,0.074,20.0,3420,
BKTI,0.858,1.608,-33.679,-0.045,-0.005,-0.179,45.0,3663,Radio and t.v. communications equipment
AE,27.696,3.079,2.362,-0.002,0.059,-0.054,10.0,5172,"Petroleum products, nec"
AMD,3881.0,0.233,0.722,0.009,0.059,0.004,45.0,3674,Semiconductors and related devices
APD,4340.4,1.142,2.715,0.182,0.137,0.153,15.0,2810,
AIRT,4.08,11.964,-417.94,-0.041,-0.002,-0.598,20.0,4513,Air courier services
ALK,1288.0,2.761,2.896,0.025,0.093,0.059,20.0,4512,"Air transportation, scheduled"
ATRI,37.677,0.103,,0.126,0.148,0.088,35.0,3841,Surgical and medical instruments
MATX,478.6,0.846,1.631,0.101,0.117,0.106,20.0,4400,
HON,8035.0,2.572,2.422,0.149,0.142,0.279,20.0,9997,
SWKS,1253.1,0.385,0.828,0.206,0.211,0.17,45.0,3674,Semiconductors and related devices
HES,4888.0,1.631,1.87,0.141,0.226,0.174,10.0,1311,Crude petroleum and natural gas
UHAL,1649.634,1.762,3.445,0.133,0.099,0.098,20.0,7510,
PRI,810.462,6.444,3.398,0.205,0.053,0.309,40.0,6311,Life insurance
PRI,,6.444,3.398,0.205,0.053,0.309,40.0,6311,Life insurance
AEP,6773.6,2.898,6.298,0.117,0.073,0.069,55.0,4911,Electric services
AXP,,8.163,3.276,0.123,0.061,0.316,40.0,6141,Personal credit institutions
AXP,14778.0,8.163,3.276,0.123,0.061,0.316,40.0,6141,Personal credit institutions
AFL,,5.119,2.168,0.251,0.039,0.209,40.0,6321,Accident and health insurance
AFL,4482.0,5.119,2.168,0.251,0.039,0.209,40.0,6321,Accident and health insurance
AIG,9253.0,11.726,2.85,0.085,0.021,0.101,40.0,6331,"Fire, marine, and casualty insurance"
AIG,,11.726,2.85,0.085,0.021,0.101,40.0,6331,"Fire, marine, and casualty insurance"
ARL,,0.474,8.793,0.613,0.032,0.082,60.0,6512,Nonresidential building operators
